연번,군구명,병원종별,의료기관명,소재지,연락처,병실수,병상수,진료과목,비고
2918,계양구,의원,차명수연세피부과의원,"인천광역시 계양구 계산새로65번길 17, 301호, 401호 (계산동)",032-285-8275,0,0,피부과,
2919,계양구,의원,한사랑비뇨기과의원,"인천광역시 계양구 계양문화로 96, 3층 305호 (용종동, 강북프라자)",032-554-8818,0,0,피부과 비뇨의학과,
2920,계양구,의원,정의원,"인천광역시 계양구 장제로 873, 2층 201호 (임학동)",032-554-1175,0,0,내과 소아청소년과 피부과 이비인후과,
2921,계양구,의원,한강비뇨기과의원,"인천광역시 계양구 경명대로 1067, 302호 (계산동, 삼환2빌딩)",032-551-5663,1,1,피부과 비뇨의학과,
2922,계양구,의원,효성의원,"인천광역시 계양구 안남로554번길 1, 대정프라자 2층 (효성동)",032-544-0061,0,0,내과 정형외과 가정의학과,
2923,계양구,의원,행복한내과의원,"인천광역시 계양구 양지로 151, 4층 (귤현동, 샤인빌딩)",032-552-3266,0,0,내과 소아청소년과 이비인후과 피부과,
2924,계양구,의원,한소망내과의원,"인천광역시 계양구 계양문화로 96, 403호 (용종동, 강북프라자)",032-554-7172,0,0,내과 소아청소년과 이비인후과 병리과,
2925,계양구,의원,한빛안과의원,"인천광역시 계양구 계양문화로 96, 303호 (용종동, 강북프라자)",032-544-7582,0,0,안과 성형외과,
2926,계양구,의원,김용주이비인후과의원,"인천광역시 계양구 계양문화로 96, 302호 (용종동, 강북프라자)",032-551-5875,0,0,내과 소아청소년과 이비인후과,
2927,계양구,의원,해든내과의원,"인천광역시 계양구 장제로 929, 2층 (병방동)",032-554-7588,0,0,내과 소아청소년과 피부과 비뇨의학과 이비인후과 영상의학과 정형외과 마취통증의학과,
2928,계양구,의원,하헌돈내과의원,"인천광역시 계양구 주부토로 479, 축협계산빌딩 201호 (계산동)",032-554-0075,0,0,내과 소아청소년과,
2929,계양구,의원,이영원비뇨기과의원,"인천광역시 계양구 장제로 911, 4층 (병방동)",032-542-2480,0,0,비뇨의학과 피부과 성형외과,
2930,계양구,의원,인천계양속편한내과의원,"인천광역시 계양구 용종로 2, 202호,304호,305호 (계산동, 계산프라자)",032-545-8837,1,4,내과 소아청소년과,
2931,계양구,의원,이영은소아청소년과의원,인천광역시 계양구 봉오대로 743(작전동),032-551-7272,0,0,소아청소년과 내과 비뇨의학과 이비인후과,
2932,계양구,의원,연세의원,"인천광역시 계양구 새벌로 120, 205호 (효성동, 대산아파트상가)",032-547-0488,0,0,가정의학과,
2933,계양구,의원,홍혜준이비인후과의원,"인천광역시 계양구 용종로 2, 계산프라자 201호 (계산동)",032-551-5071,0,0,이비인후과,
2934,계양구,의원,김상정소아청소년과의원,"인천광역시 계양구 효서로 385, 상가동 2층 21호 (작전동, 현대아파트)",032-552-2765,0,0,내과 소아청소년과 이비인후과,
2935,계양구,의원,성혜정형외과의원,"인천광역시 계양구 봉오대로 729, 2층 (작전동)",032-551-4501,0,0,내과 외과 정형외과 신경외과 소아청소년과 이비인후과 피부과 비뇨의학과 방사선종양학과 병리과 ,
2936,계양구,의원,이종우이비인후과의원,"인천광역시 계양구 경명대로 1115, 308호 (계산동, 인평프라자)",032-549-0587,0,0,이비인후과,
2937,계양구,의원,홍도신경외과의원,인천광역시 계양구 계양대로 55 (작전동),032-546-2000,0,0,정형외과 외과 신경외과 내과 방사선종양학과 병리과,
2938,계양구,의원,현대중앙의원,"인천광역시 계양구 계양대로 90, 2층 (작전동)",032-546-8033,0,0,내과 소아청소년과 외과 피부과 성형외과 정형외과 비뇨의학과,
2939,계양구,의원,하나정형외과의원,"인천광역시 계양구 계양대로 102, 하나빌딩 2층 (작전동)",032-542-5111,0,0,정형외과 신경외과 외과 내과 소아청소년과,
2940,계양구,의원,선피부과의원,"인천광역시 계양구 경명대로 1043, 2층 (계산동)",032-546-9045,0,0,피부과 비뇨의학과,
2941,계양구,의원,조태민가정의학과의원,인천광역시 계양구 안남로 568(효성동),032-548-7575,0,0,가정의학과,
2942,계양구,의원,이석환신경정신과의원,"인천광역시 계양구 계양대로 55, 민재빌딩 4층 (작전동)",032-552-0392,0,0,신경과 정신건강의학과,
2943,계양구,의원,연세이비인후과의원,"인천광역시 계양구 주부토로 479, 축협계산빌딩 (계산동)",032-552-9519,0,0,이비인후과,
2944,계양구,의원,성도대항외과의원,"인천광역시 계양구 경명대로 1090, 405호 (계산동)",032-551-6308,3,5,외과 정형외과 신경외과 내과 소아청소년과 피부과 비뇨의학과,
2945,계양구,의원,중앙산부인과의원,"인천광역시 계양구 경명대로 1070, 지하1,지상1,2층 (계산동)",032-551-5005,0,0,산부인과,
2946,계양구,의원,덕수정형외과의원,"인천광역시 계양구 경명대로 1068, 3층 전체호 (계산동)",032-551-7112,0,0,정형외과 신경외과 소아청소년과 내과 비뇨의학과 방사선종양학과,
2947,계양구,의원,정복기내과의원,인천광역시 계양구 계양대로 45 (작전동),032-547-3535,0,0,내과,
2948,계양구,의원,유석환내과의원,인천광역시 계양구 경명대로 1049 (계산동),032-545-0642,0,0,내과 소아청소년과,
2949,계양구,의원,김홍수이비인후과의원,인천광역시 계양구 경명대로 1049 (계산동),032-544-1859,0,0,이비인후과,
2950,계양구,의원,강소아청소년과의원,인천광역시 계양구 경명대로1114번길 21 (계산동),032-542-2639,0,0,소아청소년과 내과 이비인후과,
2951,계양구,의원,최낙원소아청소년과의원,인천광역시 계양구 장제로 911 (병방동),032-546-3451,0,0,소아청소년과 내과 이비인후과,
2952,계양구,의원,중앙의원,"인천광역시 계양구 주부토로 465, 지하1층,1,2,5층 (작전동)",032-542-3538,6,18,내과 외과 정형외과 소아청소년과 피부과 비뇨의학과 영상의학과 이비인후과,
2953,계양구,의원,이선호소아청소년과의원,"인천광역시 계양구 봉오대로555번길 14, 썬프라자 (효성동)",032-545-1011,0,0,내과 외과 소아청소년과,
2954,계양구,의원,성심재활의학과의원,인천광역시 계양구 경명대로 1049 (계산동),032-541-4580,0,0,재활의학과 신경외과 정형외과,
2955,계양구,의원,오안과의원,"인천광역시 계양구 계양대로 55, 2층 (작전동, 민재빌딩)",032-542-2112,0,0,안과,
2956,계양구,의원,한길의원,인천광역시 계양구 안남로 565 (효성동),032-548-3190,0,0,내과 소아청소년과 외과 정형외과,
2957,계양구,의원,서울정형외과의원,"인천광역시 계양구 계양대로 53, 휘림빌딩 202호 (작전동)",032-543-0055,0,0,재활의학과 마취통증의학과 신경외과 정형외과 내과,
2958,계양구,의원,배이비인후과의원,인천광역시 계양구 효서로 233-1 (작전동),032-542-6866,0,0,이비인후과 소아청소년과,
2959,계양구,의원,성모안과의원,인천광역시 계양구 계양대로 208 (계산동),032-542-7773,0,0,안과,
2960,계양구,치과의원,우리가족치과의원,"인천광역시 계양구 양지로 151, 3층 301호 (귤현동)",032-551-2879,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
2961,계양구,치과의원,서울정석치과의원,"인천광역시 계양구 계양대로 102, 하나빌딩 3층 (작전동)",032-213-2828,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2962,계양구,치과의원,일등치과의원,"인천광역시 계양구 장제로 808, 201호 (계산동)",032-555-2822,0,0,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2963,계양구,치과의원,올스마일치과의원,"인천광역시 계양구 계양산로 216, 3층 (임학동)",032-543-2877,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2964,계양구,치과의원,길치과의원,"인천광역시 계양구 장제로 789, 3층 일부호 (계산동)",032-548-8020,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2965,계양구,치과의원,바른길치과의원,"인천광역시 계양구 계양대로 94, 영화빌딩 9층 (작전동)",032-543-7522,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2966,계양구,치과의원,연세세브란스치과의원,"인천광역시 계양구 오조산로 1, 거승프라자 3층 304호 (작전동)",032-258-2228,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2967,계양구,치과의원,모던플란트치과의원,"인천광역시 계양구 오조산공원로 26, (주)골드프라자 2층 201호~203호 (용종동)",032-542-2080,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2968,계양구,치과의원,하얀이치과의원,"인천광역시 계양구 병방시장로 79, 2층 (병방동)",032-556-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2969,계양구,치과의원,연세자연치과의원,"인천광역시 계양구 경명대로1045번길 2, 2층 (계산동)",032-223-7528,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2970,계양구,치과의원,계양플란트인치과의원,"인천광역시 계양구 계산새로 89, 대림프라자 3층 302호 (용종동)",032-547-2872,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2971,계양구,치과의원,서울하나치과의원,"인천광역시 계양구 계양산로 194, 4층 (임학동)",032-555-2080,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2972,계양구,치과의원,연세마스터즈치과의원,"인천광역시 계양구 새벌로 112, 마스터즈 3층 306, 307, 308호 (효성동)",032-542-2888,0,0,치과보존과 구강악안면외과 치주과 치과교정과 소아치과 치과보철과 예방치과,
2973,계양구,치과의원,윌플란트치과의원,"인천광역시 계양구 봉오대로 668, 7층 일부호 (작전동)",032-555-2277,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2974,계양구,치과의원,한림치과의원,"인천광역시 계양구 장제로 728, 영프라자 4층 (작전동)",032-555-3336,0,0,예방치과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
2975,계양구,치과의원,서울하이치과의원,"인천광역시 계양구 장제로 910, 5층 (병방동)",032-299-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2976,계양구,치과의원,계양가온365치과의원,"인천광역시 계양구 오조산공원로 14, 홈플러스계산점 4층 일부호 (계산동)",032-544-2879,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과,
2977,계양구,치과의원,계산센트럴치과의원,"인천광역시 계양구 경명대로 1088, 4층 (계산동)",032-715-7532,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2978,계양구,치과의원,미소담치과의원,"인천광역시 계양구 장제로 867, 4층 (임학동)",032-547-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2979,계양구,치과의원,연세선치과의원,"인천광역시 계양구 용종로 8, 2층 201호 (계산동)",032-467-2804,0,0,치과,
2980,계양구,치과의원,기분좋은치과의원,인천광역시 계양구 양지로 25 (동양동),032-552-2878,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2981,계양구,치과의원,연세허브치과의원,"인천광역시 계양구 장제로 676, 4층 401호 (작전동, 초선빌딩)",032-546-7528,0,0,치과,
2982,계양구,치과의원,서울플라워치과교정과치과의원,"인천광역시 계양구 계산새로 71, 하이베라스빌딩 B동 2층 206호 (계산동)",032-541-0777,0,0,치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2983,계양구,치과의원,하나치과의원,인천광역시 계양구 계양대로 38(작전동),032-548-2080,0,0,치과,
2984,계양구,치과의원,이엘치과의원,인천광역시 계양구 효서로 233 (작전동),032-547-8879,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2985,계양구,치과의원,계양스마일치과의원,"인천광역시 계양구 경명대로 1059, 2층 (계산동)",032-541-7929,0,0,치과보철과 치주과 소아치과 구강악안면외과 치과교정과 예방치과,
2986,계양구,치과의원,은치과의원,인천광역시 계양구 주부토로 374(작전동),032-547-2275,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과,
2987,계양구,치과의원,계산청원치과의원,인천광역시 계양구 계산새로 1 (계산동),032-555-2805,0,0,치과보철과 치과보존과 치과교정과 치과 구강악안면외과,
2988,계양구,치과의원,스마일수치과의원,"인천광역시 계양구 장제로 822, 지하2층 (계산동, 롯데마트)",032-544-2875,0,0,구강악안면외과 소아치과 구강내과 예방치과 치과보철과 치주과 영상치의학과 치과보철과 치주과 구강악안면방사선과 치과 치과교정과 치과보존과 구강병리과 치과교정과 치과보존과 구강병리과 구강악안면외과 소아치과 구강내과 예방치과,
2989,계양구,치과의원,서울바른선치과의원,"인천광역시 계양구 오조산로57번길 7, 성림프라자동 504호 (계산동)",032-554-2279,0,0,치과교정과 치과,
2990,계양구,치과의원,수자인치과의원,"인천광역시 계양구 장제로 1004, 204,205호 (박촌동, 한양수자인상가동)",032-543-9957,0,0,구강악안면외과 소아치과 구강내과 예방치과 치과보철과 치주과 구강악안면방사선과 치과 치과교정과 치과보존과,
2991,계양구,치과의원,한결치과의원,인천광역시 계양구 장제로 909 (병방동),032-548-0028,0,0,치과,
2992,계양구,치과의원,유디계산치과의원,"인천광역시 계양구 경명대로 1074, 5층 (계산동, 삼환빌딩)",032-556-8008,0,0,치과보철과 치과교정과 구강악안면외과 치과,
2993,계양구,치과의원,상아웰치과의원,"인천광역시 계양구 황어로 120, 3층 (장기동, KB빌딩)",032-548-7528,0,0,치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2994,계양구,치과의원,스마일탑치과의원,"인천광역시 계양구 장제로 672, 302호 (작전동, 신영프라자)",032-542-7588,0,0,구강악안면외과 소아치과 구강내과 예방치과 치과보철과 치주과 구강악안면방사선과 치과 치과교정과 치과보존과 구강병리과,
2995,계양구,치과의원,인천W 치과의원,"인천광역시 계양구 경명대로 1090, 201호~205호 (계산동, 계산메가타운)",032-541-2878,0,0,구강악안면외과 소아치과 구강내과 예방치과 치과보철과 치주과 구강악안면방사선과 치과 치과교정과 치과보존과 구강병리과,
2996,계양구,치과의원,서광원 푸른솔치과의원,"인천광역시 계양구 주부토로 469 (작전동, 원광빌딩)",032-546-0671,0,0,구강악안면외과 소아치과 구강내과 예방치과 치과보철과 치주과 치과 치과교정과 치과보존과 구강병리과,
2997,계양구,치과의원,미소진치과의원,"인천광역시 계양구 봉오대로555번길 14, 301호 (효성동, 썬프라자)",032-543-2882,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2998,계양구,치과의원,유디치과의원,"인천광역시 계양구 효서로 266, 2,3층 (작전동)",032-552-6500,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2999,계양구,치과의원,행복한치과의원,인천광역시 계양구 계산천동로 15(계산동),032-543-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3000,계양구,치과의원,인서울치과의원,"인천광역시 계양구 계산새로 71, D동 204,205호 (계산동, 하이베라스)",032-566-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3001,계양구,치과의원,보스턴웰치과의원,인천광역시 계양구 계양대로 56(작전동),032-549-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3002,계양구,치과의원,굿모닝치과의원,"인천광역시 계양구 장제로 912, 2층 (병방동)",032-548-4393,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3003,계양구,치과의원,동양수치과의원,"인천광역시 계양구 동양로 101, 302호 (동양동, 명일프라자)",032-552-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3004,계양구,치과의원,초이스치과의원,"인천광역시 계양구 계양대로 149, 3층 (계산동)",032-548-2804,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3005,계양구,치과의원,UP백 치과의원,인천광역시 계양구 안남로565번길 2(효성동),032-547-3433,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
3006,계양구,치과의원,인천어린이치과의원,"인천광역시 계양구 계산새로 71, 하이베라스 C동 202,203호 (계산동)",032-553-5275,0,0,예방치과 소아치과 치과교정과,
3007,계양구,치과의원,박촌에이스치과의원,"인천광역시 계양구 장제로 999, 2층 (박촌동)",032-515-7522,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3008,계양구,치과의원,이튼치과의원,"인천광역시 계양구 효서로 300, 2층 (작전동, 삼호빌딩)",032-549-8275,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3009,계양구,치과의원,연세유앤이치과의원,"인천광역시 계양구 장제로875번길 1, 202호 (임학동, 대산빌딩)",032-555-2871,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3010,계양구,치과의원,알프스치과의원,"인천광역시 계양구 오조산로 3, 한미리빌딩 4층 401호 (작전동)",032-545-3719,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
3011,계양구,치과의원,계양수치과의원,인천광역시 계양구 장제로 907 (병방동),032-555-2227,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3012,계양구,치과의원,신세계치과의원,"인천광역시 계양구 계양대로 101, 4층 402호 (작전동)",032-545-2275,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
3013,계양구,치과의원,반석치과의원,"인천광역시 계양구 주부토로363번길 28, 201호 (작전동, 동보1차아파트상가)",032-541-2744,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 구강악안면외과,
3014,계양구,치과의원,세느치과의원,"인천광역시 계양구 효서로 230 (작전동, 삼성프라자)",032-556-1370,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3015,계양구,치과의원,뉴욕치과의원,"인천광역시 계양구 계산새로 71, C동 3층 304,305호 (계산동, 하이베라스빌딩)",032-551-9678,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
3016,계양구,치과의원,스마일치과의원,"인천광역시 계양구 계양문화로 96, 4층 (용종동, 강북프라자)",032-541-0275,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3017,계양구,치과의원,굿모닝치과의원,"인천광역시 계양구 계양대로 214, 에이스타운 301호 (계산동)",032-552-2870,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3018,계양구,치과의원,키즈프라임치과의원,"인천광역시 계양구 오조산로 53, 301호 (계산동, 연세차메디칼센타)",032-556-2275,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3019,계양구,치과의원,스마트치과의원,"인천광역시 계양구 효서로 53, 302호 (효성동, 현대프라자)",032-543-2825,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3020,계양구,치과의원,나움치과의원,인천광역시 계양구 새벌로 126(효성동),032-556-7522,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3021,계양구,치과의원,이사랑치과의원,인천광역시 계양구 주부토로 475(계산동),032-552-2828,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과,
3022,계양구,치과의원,튼튼치과의원,"인천광역시 계양구 계양대로 81, 2층 (작전동)",032-544-2275,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3023,계양구,치과의원,명치과의원,인천광역시 계양구 병방로 13(병방동),032-553-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3024,계양구,치과의원,해맑은치과의원,"인천광역시 계양구 안남로554번길 1, 대정프라자 (효성동)",032-549-2228,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3025,계양구,치과의원,연세차치과의원,"인천광역시 계양구 주부토로 479, 3층 (계산동)",032-543-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3026,계양구,치과의원,이-편한치과의원,인천광역시 계양구 장제로1009번길 2(박촌동),032-521-2119,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3027,계양구,치과의원,이데이치과의원,"인천광역시 계양구 경명대로 1096, 4층 (계산동)",032-551-2275,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3028,계양구,치과의원,큐치과의원,인천광역시 계양구 장제로 708 (작전동),032-551-2866,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3029,계양구,치과의원,계양치과의원,"인천광역시 계양구 주부토로 525, 3층 (계산동, 정우빌딩)",032-551-2882,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3030,계양구,치과의원,탑치과의원,"인천광역시 계양구 경명대로 1068, 덕수빌딩 2층 (계산동)",032-555-5528,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과,
3031,계양구,치과의원,탑플러스치과의원,"인천광역시 계양구 계양대로 31, 2층 (작전동)",032-548-2879,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3032,계양구,치과의원,GM치과의원,"인천광역시 계양구 장제로 735, 3층 (작전동)",032-552-4393,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3033,계양구,치과의원,서울명문치과의원,"인천광역시 계양구 계산새로65번길 17, 502호 (계산동, 계양메디칼)",032-556-2882,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3034,계양구,치과의원,효성치과의원,인천광역시 계양구 효서로 92(효성동),032-555-2020,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과,
3035,계양구,치과의원,계산서울치과의원,"인천광역시 계양구 용종로 2, 201호 (계산동)",032-288-2875,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3036,계양구,치과의원,2080치과의원,"인천광역시 계양구 봉오대로477번길 19, 태산상가 501호 (효성동)",032-545-7242,0,0,예방치과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3037,계양구,치과의원,해담치과의원,"인천광역시 계양구 아나지로417번길 20, 2층 (작전동, 태주빌딩)",032-554-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3038,계양구,치과의원,권영택치과의원,인천광역시 계양구 주부토로 477(계산동),032-552-8123,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3039,계양구,치과의원,인치과의원,"인천광역시 계양구 새벌로 120(효성동, 대산아파트)",032-542-2812,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3040,계양구,치과의원,유명치과의원,"인천광역시 계양구 계산새로 93, 2층 202호 (용종동, 밀레니엄프라자)",032-541-6780,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3041,계양구,치과의원,햄치과의원,"인천광역시 계양구 장제로 876, 상가동 307호 (병방동, 학마을서해아파트상가동)",032-553-2818,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3042,계양구,치과의원,이종수치과의원,"인천광역시 계양구 용종로 97 (용종동, 신대진아파트단지내상가)",032-553-7528,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과,
3043,계양구,치과의원,행복치과의원,"인천광역시 계양구 용종로 23, 은행마을 태산아파트 상가동 206,207호 (계산동)",032-543-2874,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
3044,계양구,치과의원,인치과의원,인천광역시 계양구 경명대로 1049(계산동),032-545-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3045,계양구,치과의원,정원치과의원,"인천광역시 계양구 계양대로 65, 정원치과의원 4층 (작전동)",032-545-6422,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과,
3046,계양구,치과의원,연세치과의원,"인천광역시 계양구 경명대로 1071, 2층 (계산동)",032-545-7472,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3047,계양구,치과의원,아름다운치과교정과치과의원,"인천광역시 계양구 오조산공원로 22, 404호 (용종동, 계양프라자)",032-551-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3048,계양구,치과의원,고영관치과의원,인천광역시 계양구 계양대로 156 (계산동),032-551-2828,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
3049,계양구,치과의원,박경렬치과의원,"인천광역시 계양구 아나지로 195, 2층 (효성동)",032-545-0404,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과,
